#{"t_start": 1780398861.2305164, "env_id": "None"}
r,l,t
19.1897,63,47.019751
-35.29378,169,47.140255
-125.84498,200,47.253397
3.4305358,75,47.375923
30.335926,46,47.49458
-134.61368,200,47.607556
30.470919,34,47.731825
39.166885,25,47.862747
13.4965725,72,47.991122
-102.49312,200,48.095659
34.64041,31,48.249169
-97.80589,200,48.384319
16.771776,58,48.48869
-102.8006,200,48.59937
-100.1039,200,48.599411
38.6177,19,48.719815
29.528381,31,48.830493
36.276524,29,48.948296
-1.4705193,113,49.067004
32.05097,34,49.190819
23.00701,55,49.316139
-202.33395,200,49.443769
38.32818,26,49.443836
34.87312,27,49.611632
-133.42859,200,49.611685
-136.44604,200,49.755631
-94.598465,200,49.875059
-108.8939,192,49.985433
31.186264,32,50.146013
27.219574,36,50.310788
1.7225896,81,50.456494
-68.27112,182,50.570567
23.852009,66,50.689823
-538.1942,200,50.689857
-23.142727,135,50.794298
39.14663,27,50.92331
-118.01716,200,51.039135
34.32809,36,51.157269
37.82469,24,51.290881
31.870222,34,51.290917
38.308605,23,51.473564
35.91831,31,51.608217
-115.54843,200,51.766109
-7.685567,126,51.766154
36.82997,31,51.901732
27.982767,36,52.009038
-58.469612,177,52.163393
-2.0734355,90,52.296919
3.0010338,114,52.441127
32.32305,44,52.545588
27.689322,47,52.671145
-23.041561,189,52.803077
35.659233,30,52.925074
19.420275,67,53.065951
31.097118,39,53.196605
-22.0904,127,53.351444
-367.60135,200,53.460126
31.647654,39,53.588015
-91.33601,200,53.721592
-87.6539,200,53.852418
9.462172,90,53.997463
-41.40987,116,54.122642
-12.243044,130,54.225812
-4.7116346,96,54.377938
37.714905,24,54.526826
-9.882903,123,54.64259
39.254436,21,54.807925
34.392456,30,54.990229
-34.870182,142,55.122158
19.08606,69,55.27555
-97.488266,200,55.275612
-9.028223,116,55.424804
-114.17309,200,55.544716
5.453118,81,55.677454
-101.85903,200,55.830593
-18.506632,161,55.955591
38.737164,23,56.056069
-131.68872,200,56.184041
30.274578,37,56.184087
3.3734162,103,56.304133
-135.97589,200,56.435817
23.756424,59,56.549931
-11.265845,90,56.667891
32.596703,40,56.789069
-9.362357,138,56.939655
38.80097,23,57.09295
37.81105,23,57.227682
-94.55926,200,57.363532
-15.362058,124,57.363573
25.45573,65,57.528908
2.6850173,101,57.685729
28.934937,44,57.685767
29.82609,45,57.813718
6.4460783,97,57.813772
34.472206,34,57.964451
-92.63507,200,58.072974
6.483963,108,58.186889
2.7680757,121,58.385581
38.270077,24,58.503461
-17.493124,136,58.648297
33.367767,30,58.750097
-2.7013175,115,58.855815
31.364614,32,58.989256
34.37709,29,59.15485
-563.8737,200,59.272624
18.733154,63,59.445178
-111.83196,200,59.566236
-111.495804,200,59.700296
5.5841346,82,59.822961
-14.877206,117,59.973465
-58.963852,194,60.126534
17.968468,62,60.319532
-2.1681252,113,60.468424
17.506886,84,60.640163
32.579876,39,60.771505
-189.81189,200,60.933279
-549.2785,200,61.056346
26.831102,49,64.883298
29.45552,32,65.022399
21.771233,51,65.022446
-10.28419,146,65.133815
1.8421398,104,65.2957
-19.85676,149,65.430751
12.62122,79,65.430795
10.822306,64,65.554489
1.617601,114,65.678904
31.035543,32,65.80438
-49.826332,188,65.907936
39.12495,25,66.052863
23.087854,64,66.20032
30.452497,32,66.301286
5.897517,100,66.424109
29.79028,44,66.555224
25.621584,53,66.701221
16.547897,81,66.811298
22.767122,52,66.94517
32.65228,41,67.098207
-121.698715,200,67.222416
26.687761,42,67.222473
18.009636,66,67.351012
29.161095,39,67.478887
-120.28259,200,67.642829
9.281255,74,67.800046
-74.33826,188,67.800093
31.610392,39,67.92591
-103.04642,200,68.063074
38.144863,23,68.19118
-141.7577,200,68.299106
38.653656,26,68.413983
39.493996,25,68.594973
3.3879833,95,68.732396
21.355225,59,68.859112
-33.78445,138,68.975911
39.93681,19,69.124199
17.972162,71,69.124236
22.134968,50,69.238052
32.763535,29,69.400899
40.943085,23,69.400948
35.341053,28,69.520413
7.0272408,82,69.668281
28.054855,47,69.778295
-177.28824,200,69.889969
36.963913,26,70.017236
2.3640797,110,70.234179
-29.889729,161,70.358173
29.622147,45,70.564014
-9.686206,131,70.699895
-62.01615,168,70.854947
26.005781,38,70.962542
1.6316452,75,71.092092
14.374453,78,71.233059
-119.85239,200,71.233095
17.131617,61,71.233103
15.309525,76,71.349221
-82.94001,200,71.51518
24.344757,51,71.51524
14.86096,69,71.51525
-93.91238,200,71.619337
-110.53047,178,71.72132
10.25692,95,71.858746
-2.3416643,94,72.02243
27.064636,32,72.150192
-10.063887,124,72.258752
-11.963653,139,72.399534
4.154969,88,72.53787
15.420921,82,72.67464
-93.72802,200,72.811392
39.32477,23,72.964659
29.853365,35,73.125272
-14.5672655,116,73.226464
35.079247,30,73.371624
0.6027976,130,73.478386
37.09273,36,73.611413
39.082367,21,73.766505
24.563757,39,73.886982
21.378315,56,74.027216
14.27637,65,74.027265
-11.501266,123,74.136466
34.99614,29,74.263651
-140.52237,200,74.390391
-113.813126,200,74.506187
37.710487,25,74.655318
-6.233848,135,74.655364
38.75922,25,74.775036
39.475,24,74.905385
-6.960964,121,75.049726
-94.29519,200,75.22703
9.252745,101,75.227074
31.890566,47,75.413336
-1.5731626,99,75.413375
-41.283417,180,75.561876
-7.569621,99,75.727988
32.907955,36,75.852278
37.874115,25,76.017427
37.186985,24,76.166838
24.841057,42,76.308735
0.15034835,116,76.435126
34.902966,35,76.563674
35.528133,29,76.682956
-5.1968837,137,76.68302
31.47692,35,76.78896
30.422462,39,76.917784
-28.33375,120,77.045661
35.939995,32,77.156397
-12.14072,137,77.283346
34.021854,37,77.446449
19.677586,64,77.573439
29.43078,41,77.691132
36.25323,28,77.81632
-4.1544995,121,77.922539
-31.524586,181,78.052642
35.244434,31,78.180413
0.38591465,83,78.29484
-23.119022,197,78.42266
37.20854,29,78.56509
15.118913,69,78.565136
28.462479,47,78.673371
25.04093,50,78.876785
17.069101,58,78.876835
-12.745925,108,79.059039
-155.0419,200,79.207756
3.170129,105,79.366584
-39.218967,157,79.475021
-23.012201,149,79.588031
30.967533,40,79.719176
10.72618,93,79.836895
-91.3118,200,79.955808
-122.572426,200,80.064317
28.411764,45,80.204364
1.3088584,107,80.34806
-26.777197,150,80.348109
23.930622,65,80.348117
16.963274,86,80.508797
-93.012665,200,80.639849
-16.19597,111,80.744815
-111.3163,200,80.867909
26.92737,49,81.006582
30.903852,33,81.006613
32.78985,29,81.138391
38.899662,28,81.138435
32.435417,31,81.32975
35.502785,31,81.329803
-0.6258304,103,81.329811
26.117456,48,81.455753
23.671047,46,81.563928
3.4069297,84,81.69101
32.57703,37,81.844691
-126.789246,200,81.952186
3.0882661,107,82.108378
37.684605,23,82.108428
-116.98294,200,82.254253
14.098399,76,82.371574
33.200523,39,82.495073
-0.8432493,107,82.63474
36.614395,29,82.634798
27.644579,65,82.772097
24.283384,50,82.772128
-79.01425,200,82.904015
22.31106,67,83.082059
-113.94447,200,83.08212
-96.35829,200,83.219605
35.584164,28,83.364554
-1.5122937,122,83.514201
34.3676,28,83.674837
25.473352,49,83.674896
34.008198,32,83.797622
32.31644,31,83.945358
25.304352,60,84.108906
30.743149,35,84.263576
30.806702,41,84.363969
17.882563,52,84.364001
-0.8752658,122,84.485665
-30.8914,163,84.641162
-83.235245,198,84.641211
15.940539,91,84.76108
29.03747,43,84.892249
9.301237,82,85.024418
36.02286,31,85.151706
37.62622,23,85.262789
29.184052,36,85.391626
25.20165,56,85.520967
40.231255,22,85.521013
-23.723415,117,85.686745
14.337965,69,85.832873
26.292038,35,85.981128
-92.91853,200,85.981183
18.811499,68,86.109951
34.83979,31,86.267178
-18.71271,136,86.37971
27.896826,49,86.542217
-176.34692,200,86.542266
19.255102,62,86.748847
26.805752,61,86.903691
-180.04321,200,87.04153
12.400206,64,87.041562
38.531727,25,87.151404
19.902925,75,87.307088
27.256115,51,87.412054
35.916695,36,87.524265
37.936234,23,87.668979
23.221432,53,87.669046
29.159828,41,87.805904
17.192627,57,87.957268
-117.424194,200,88.074736
28.837578,30,88.216483
36.60433,31,88.352314
-21.161116,130,88.352359
22.723442,55,88.531149
-52.175377,186,88.661077
-188.84662,200,88.773581
